transaction_id,merchant_id,customer_id,amount,currency,payment_method,transaction_hour,day_of_week,customer_transaction_count,customer_avg_amount,merchant_avg_amount,amount_deviation,customer_age_days,failed_attempts,device_change,ip_change,country_change,velocity_1h,velocity_24h,previous_chargebacks,previous_fraud_events,checkout_duration,retry_count,subscription,transaction_status,is_fraud,payment_failure,failure_reason,subscription_status,customer_value,previous_successful_payments,recovery_attempts,recovered,recovery_action,recovery_amount
txn_00000000,merchant_00058,customer_001687,1714.43,INR,upi,10,6,20,1638.07,784.35,0.0466,1711,0,0,0,0,1,3,0,0,19.89,0,1,captured,0,0,none,active,32761.36,20,0,0,none,0.0
txn_00000001,merchant_00503,customer_017176,519.63,INR,card,9,4,21,372.48,788.56,0.3951,1446,0,0,0,0,0,0,0,0,18.49,1,0,captured,0,0,none,none,7822.04,21,0,0,none,0.0
txn_00000002,merchant_00425,customer_009425,1328.53,INR,upi,0,3,15,1117.27,969.55,0.1891,818,0,0,0,0,1,1,0,0,110.3,0,1,captured,0,0,none,past_due,16759.01,14,0,0,none,0.0
txn_00000003,merchant_00285,customer_017828,623.69,INR,card,19,3,18,754.26,977.17,-0.1731,2018,0,0,0,0,1,5,0,0,59.01,0,1,captured,0,0,none,active,13576.63,17,0,0,none,0.0
txn_00000004,merchant_00281,customer_007472,4650.42,INR,upi,11,1,31,979.61,2552.7,3.7472,694,1,0,0,0,0,1,0,0,20.9,0,0,captured,0,0,none,none,30367.76,30,0,0,none,0.0
txn_00000005,merchant_00558,customer_014996,1498.61,INR,card,1,2,17,1049.28,1183.75,0.4282,211,0,1,0,0,2,7,0,0,34.54,0,0,captured,0,0,none,none,17837.77,17,0,0,none,0.0
txn_00000006,merchant_00055,customer_005955,1357.93,INR,upi,19,5,8,581.47,769.06,1.3353,1463,1,0,1,0,1,5,0,0,64.39,1,0,captured,0,0,none,none,4651.78,6,0,0,none,0.0
txn_00000007,merchant_00453,customer_007989,427.37,INR,netbanking,21,0,19,1513.7,1524.76,-0.7177,159,1,1,0,0,1,6,0,0,55.39,0,1,captured,0,0,none,active,28760.23,18,0,0,none,0.0
txn_00000008,merchant_00130,customer_006242,1859.04,INR,upi,20,3,22,1410.8,2115.2,0.3177,1621,0,0,0,0,1,4,0,0,42.46,1,0,captured,0,0,none,none,31037.62,20,0,0,none,0.0
txn_00000009,merchant_00061,customer_009853,2650.49,INR,netbanking,10,1,12,1856.95,2154.77,0.4273,1779,0,0,0,0,0,1,0,0,120.1,0,0,captured,0,0,none,none,22283.42,11,0,0,none,0.0
txn_00000010,merchant_00342,customer_004020,2568.92,INR,wallet,9,2,12,1450.46,2312.3,0.7711,2136,0,0,0,0,2,3,0,0,84.31,1,1,captured,0,0,none,active,17405.52,12,0,0,none,0.0
txn_00000011,merchant_00634,customer_009059,5187.16,INR,upi,13,5,25,4035.86,2012.96,0.2853,1788,0,0,0,0,1,3,0,0,80.95,0,0,captured,0,0,none,none,100896.53,25,0,0,none,0.0
txn_00000012,merchant_00478,customer_015119,799.5,INR,upi,11,4,31,811.01,1671.06,-0.0142,810,0,0,0,0,1,3,0,0,42.21,1,1,captured,0,0,none,active,25141.38,31,0,0,none,0.0
txn_00000013,merchant_00494,customer_002802,777.03,INR,card,12,2,21,1027.73,1090.44,-0.2439,1144,0,1,0,0,0,0,0,0,45.18,0,0,captured,0,0,none,none,21582.42,21,0,0,none,0.0
txn_00000014,merchant_00466,customer_014272,3987.14,INR,emi,12,0,14,1549.28,2165.98,1.5735,265,0,0,0,0,0,6,1,0,26.34,0,0,captured,0,0,none,none,21689.97,13,0,0,none,0.0
txn_00000015,merchant_00510,customer_015379,2354.45,INR,netbanking,18,6,9,1309.34,1719.42,0.7982,778,0,0,1,0,2,7,0,0,104.0,2,0,captured,0,0,none,none,11784.02,9,0,0,none,0.0
txn_00000016,merchant_00333,customer_000627,1146.06,INR,upi,13,0,17,602.73,707.04,0.9014,1919,0,0,0,0,2,8,0,0,13.0,0,0,captured,0,0,none,none,10246.45,17,0,0,none,0.0
txn_00000017,merchant_00083,customer_012164,207.91,INR,wallet,6,5,18,498.0,779.76,-0.5825,1419,0,0,0,0,2,5,0,0,53.62,1,1,captured,0,0,none,active,8963.97,16,0,0,none,0.0
txn_00000018,merchant_00545,customer_008732,427.15,INR,upi,23,1,21,255.62,806.62,0.671,139,2,1,1,0,0,9,0,0,12.2,0,0,captured,0,0,none,none,5368.11,19,0,0,none,0.0
txn_00000019,merchant_00292,customer_011482,7443.66,INR,upi,10,0,20,3761.44,1840.21,0.9789,1998,0,0,0,0,0,4,0,0,97.29,0,0,captured,0,0,none,none,75228.79,20,0,0,none,0.0
txn_00000020,merchant_00325,customer_005303,1882.21,INR,card,15,3,16,1095.1,1551.15,0.7188,1642,0,0,0,0,1,6,0,0,42.89,1,0,captured,0,0,none,none,17521.61,15,0,0,none,0.0
txn_00000021,merchant_00241,customer_003965,6606.85,INR,netbanking,9,6,11,6597.91,4172.39,0.0014,1635,1,1,0,1,0,3,1,0,18.98,3,0,captured,0,0,none,none,72577.05,9,0,0,none,0.0
txn_00000022,merchant_00118,customer_005166,777.13,INR,upi,17,6,18,676.58,1206.21,0.1486,1544,0,0,0,0,0,7,0,0,91.19,1,0,failed,0,1,insufficient_funds,none,12178.47,18,1,1,card_update,608.93
